all_slang,tokens
mau,['mau']
turun,['turun']
badan,['badan']
cepat,['cepat']
produsen,['produsen']
insulin,['insulin']
terbesar,['terbesar']
dunia,['dunia']
dari,['dari']
meroket,['meroket']
gara,['gara']
ringgit,['ringgit']
dan,['dan']
saham,['saham']
as,['as']
ke,['ke']
lemah,['lemah']
yen,['yen']
won,['won']
hampir,['hampir']
saham,['saham']
naik,['naik']
to,['to']
ingat,['ingat']
kata,['kata']
kata,['kata']
konglomerat,['konglomerat']
mendukung,['mendukung']
saham,['saham']
ambruk,['ambruk']
sih,['sih']
percaya,['percaya']
dengan,['dengan']
,[]
tolol,['tolol']
,[]
saham,['saham']
selain,['selain']
daripada,['daripada']
gain,['gain']
banyak,['banyak']
syarikat,['syarikat']
yang,['yang']
bagi,['bagi']
pulangan,['pulangan']
dalam,['dalam']
bentuk,['bentuk']
dividen,['dividen']
lepas,['lepas']
bersara,['bersara']
dapat,['dapat']
dividen,['dividen']
as,['as']
penting,['penting']
strategi,['strategi']
kena,['kena']
betul,['betul']
beli,['beli']
buku,['buku']
ni,['ni']
until,['until']
belajar,['belajar']
dia,['dia']
kenapa,['kenapa']
nak,['nak']
komplot,['komplot']
dia,['dia']
salah,['salah']
minta,['minta']
maaf,['maaf']
hulur,['hulur']
lah,['lah']
berapa,['berapa']
mampu,['mampu']
tolong,['tolong']
dia,['dia']
perangai,['perangai']
kalah,['kalah']
apa,['apa']
ni,['ni']
jangan,['jangan']
makcik,['makcik']
pakcik,['pakcik']
dosa,['dosa']
kan,['kan']
suka,['suka']
benda,['benda']
ke,['ke']
pasal,['pasal']
dosa,['dosa']
saham,['saham']
tahu,['tahu']
akibat,['akibat']
terkesan,['terkesan']
telah,['telah']
mengorbankan,['mengorbankan']
di,['di']
pada,['pada']
di,['di']
berbulan,['berbulan']
karena,['karena']
gagal,['gagal']
bayar,['bayar']
kemungkinan,['kemungkinan']
lain,['lain']
dan,['dan']
indeks,['indeks']
saham,['saham']
pada,['pada']
hari,['hari']
Kamis,['Kamis']
pagi,['pagi']
mempertahankan,['mempertahankan']
laju,['laju']
suku,['suku']
bunga,['bunga']
acuan,['acuan']
pada,['pada']
level,['level']
saham,['saham']
turun,['turun']
justru,['justru']
kesempatan,['kesempatan']
untuk,['untuk']
dividen,['dividen']
bulan,['bulan']
Maret,['Maret']
nanti,['nanti']
emiten,['emiten']
sudah,['sudah']
menyampaikan,['menyampaikan']
rencana,['rencana']
habis,['habis']
pikir,['pikir']
kenapa,['kenapa']
saham,['saham']
turun,['turun']
tapi,['tapi']
tinggal,['tinggal']
di,['di']
persen,['persen']
cuk,['cuk']
,[]
sesumbar,['sesumbar']
mendukung,['mendukung']
saham,['saham']
anjlok,['anjlok']
baru,['baru']
pada,['pada']
membantah,['membantah']
masih,['masih']
oke,['oke']
punya,['punya']
nih,['nih']
sepertinya,['sepertinya']
are,['are']
dong,['dong']
prof,['prof']
,[]
,[]
tak,['tak']
syarikat,['syarikat']
dia,['dia']
adalah,['adalah']
cukai,['cukai']
transaksi,['transaksi']
saham,['saham']
syarikat,['syarikat']
ni,['ni']
penting,['penting']
be,['be']
ini,['ini']
mah,['mah']
kayak,['kayak']
lagi,['lagi']
rapat,['rapat']
pemegang,['pemegang']
saham,['saham']
top,['top']
video,['video']
to,['to']
are,['are']
saham,['saham']
syariah,['syariah']
,[]
emang,['emang']
bilang,['bilang']
bakal,['bakal']
lebih,['lebih']
banyak,['banyak']
sih,['sih']
di,['di']
tahun,['tahun']
ini,['ini']
tapi,['tapi']
gua,['gua']
malah,['malah']
kebanyakan,['kebanyakan']
saham,['saham']
ya,['ya']
Indonesia,['Indonesia']
saham,['saham']
syariah,['syariah']
,[]
saham,['saham']
syariah,['syariah']
kontol,['kontol']
mana,['mana']
cok,['cok']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
itu,['itu']
semua,['semua']
ya,['ya']
garap,['garap']
bisa,['bisa']
papa,['papa']
minta,['minta']
saham,['saham']
bodoh,['bodoh']
aja,['aja']
iman,['iman']
di,['di']
ke,['ke']
,[]
,[]
saham,['saham']
lagi,['lagi']
biasanya,['biasanya']
menopang,['menopang']
hari,['hari']
ini,['ini']
pada,['pada']
cuti,['cuti']
massal,['massal']
saham,['saham']
bank,['bank']
lagi,['lagi']
satu,['satu']
menteri,['menteri']
dari,['dari']
kabinet,['kabinet']
menteri,['menteri']
gencar,['gencar']
menghantam,['menghantam']
mafia,['mafia']
adalah,['adalah']
sosok,['sosok']
membubarkan,['membubarkan']
sarang,['sarang']
mafia,['mafia']
dan,['dan']
melaporkan,['melaporkan']
si,['si']
ke,['ke']
,[]
dua,['dua']
putaran,['putaran']
berarti,['berarti']
makin,['makin']
dong,['dong']
petugas,['petugas']
dapat,['dapat']
juta,['juta']
dua,['dua']
hari,['hari']
kerja,['kerja']
are,['are']
ong,['ong']
pernyataan,['pernyataan']
mendukung,['mendukung']
saham,['saham']
anjlok,['anjlok']
dan,['dan']
dukung,['dukung']
negatif,['negatif']
dong,['dong']
aku,['aku']
bakal,['bakal']
persidangan,['persidangan']
manipulasi,['manipulasi']
harga,['harga']
saham,['saham']
ini,['ini']
lebih,['lebih']
ke,['ke']
kakao,['kakao']
kan,['kan']
dari,['dari']
pelaku,['pelaku']
yang,['yang']
siapa,['siapa']
cuma,['cuma']
bapak,['bapak']
ini,['ini']
bukan,['bukan']
kepala,['kepala']
kakao,['kakao']
tapi,['tapi']
cuma,['cuma']
bentar,['bentar']
amat,['amat']
are,['are']
talk,['talk']
zero,['zero']
kredit,['kredit']
,[]
selalu,['selalu']
sebagai,['sebagai']
ekonomi,['ekonomi']
masa,['masa']
depan,['depan']
dan,['dan']
pembawa,['pembawa']
